Datetime,Temperature (°C),Weather,Humidity (%)
2025-04-03 12:00:00,25.14,clear sky,23
2025-04-03 15:00:00,23.2,clear sky,35
2025-04-03 18:00:00,20.09,clear sky,54
2025-04-03 21:00:00,15.32,clear sky,73
2025-04-04 00:00:00,15.76,clear sky,75
2025-04-04 03:00:00,15.24,clear sky,77
2025-04-04 06:00:00,17.34,clear sky,68
2025-04-04 09:00:00,19.14,clear sky,57
2025-04-04 12:00:00,19.19,clear sky,57
2025-04-04 15:00:00,18.09,clear sky,64
2025-04-04 18:00:00,16.83,clear sky,68
2025-04-04 21:00:00,16.11,clear sky,75
2025-04-05 00:00:00,15.98,clear sky,75
2025-04-05 03:00:00,15.86,few clouds,72
2025-04-05 06:00:00,17.26,few clouds,64
2025-04-05 09:00:00,19.13,clear sky,56
2025-04-05 12:00:00,19.72,clear sky,52
2025-04-05 15:00:00,19.04,scattered clouds,52
2025-04-05 18:00:00,17.32,few clouds,59
2025-04-05 21:00:00,17.08,clear sky,53
2025-04-06 00:00:00,18.13,clear sky,35
2025-04-06 03:00:00,18.01,clear sky,39
2025-04-06 06:00:00,22.72,few clouds,32
2025-04-06 09:00:00,26.01,scattered clouds,29
2025-04-06 12:00:00,26.8,broken clouds,36
2025-04-06 15:00:00,23.83,overcast clouds,50
2025-04-06 18:00:00,24.79,broken clouds,34
2025-04-06 21:00:00,22.91,broken clouds,45
2025-04-07 00:00:00,19.04,broken clouds,71
2025-04-07 03:00:00,18.19,scattered clouds,78
2025-04-07 06:00:00,19.88,broken clouds,70
2025-04-07 09:00:00,22.14,scattered clouds,59
2025-04-07 12:00:00,22.08,few clouds,56
2025-04-07 15:00:00,20.97,broken clouds,57
2025-04-07 18:00:00,19.51,broken clouds,68
2025-04-07 21:00:00,18.29,clear sky,75
2025-04-08 00:00:00,17.91,clear sky,73
2025-04-08 03:00:00,17.81,scattered clouds,63
2025-04-08 06:00:00,20.3,scattered clouds,59
2025-04-08 09:00:00,23.93,overcast clouds,50
