date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,cloud_cover,wind_speed_10m,is_day,direct_radiation,surface_pressure,weather_code,weather_description
2022-01-01 00:00:00+00:00,15.0,71.07667,9.8,12.529978,0.6,100.0,8.994331,0.0,0.0,1012.37897,53.0,Moderate drizzle
2022-01-01 01:00:00+00:00,14.45,75.63946,10.2,13.5149765,0.0,100.0,3.7339947,0.0,0.0,1012.7759,3.0,Overcast
2022-01-01 02:00:00+00:00,14.0,79.71425,10.55,12.410856,0.2,100.0,6.53431,0.0,0.0,1012.774,51.0,Light drizzle
2022-01-01 03:00:00+00:00,14.05,79.456314,10.55,12.43989,0.1,100.0,6.611914,0.0,0.0,1012.3745,51.0,Light drizzle
2022-01-01 04:00:00+00:00,13.5,81.799,10.45,12.187647,0.0,76.0,5.400938,0.0,0.0,1012.7714,2.0,Partly cloudy
2022-01-01 05:00:00+00:00,12.35,87.30846,10.3,11.558672,0.2,85.0,3.3102403,1.0,0.0,1013.16565,51.0,Light drizzle
2022-01-01 06:00:00+00:00,14.05,81.32788,10.9,13.339338,0.0,94.0,3.66763,1.0,20.0,1014.0723,3.0,Overcast
2022-01-01 07:00:00+00:00,15.55,74.08105,10.95,15.087498,0.0,62.0,2.803446,1.0,118.0,1014.279,2.0,Partly cloudy
2022-01-01 08:00:00+00:00,17.05,68.91219,11.3,16.60441,0.0,72.0,3.134348,1.0,258.0,1013.9862,2.0,Partly cloudy
2022-01-01 09:00:00+00:00,18.35,62.449104,11.05,17.757198,0.0,97.0,3.3947709,1.0,282.0,1013.2931,3.0,Overcast
2022-01-01 10:00:00+00:00,18.1,63.226433,11.0,16.976036,0.0,100.0,5.3056507,1.0,123.0,1012.393,3.0,Overcast
2022-01-01 11:00:00+00:00,16.9,69.1109,11.2,15.856682,0.1,100.0,5.2339487,1.0,75.0,1011.8882,51.0,Light drizzle
2022-01-01 12:00:00+00:00,18.5,57.300274,9.9,18.270063,0.0,97.0,0.8014658,1.0,80.0,1011.49603,3.0,Overcast
2022-01-01 13:00:00+00:00,18.3,61.818787,10.85,17.694715,0.0,91.0,3.2176278,1.0,78.0,1011.595,3.0,Overcast
2022-01-01 14:00:00+00:00,17.45,70.37009,12.0,17.43216,0.0,81.0,2.3647835,1.0,37.0,1011.691,3.0,Overcast
2022-01-01 15:00:00+00:00,15.45,77.06917,11.45,15.098143,0.0,46.0,2.960769,0.0,3.0,1011.58234,1.0,Mainly clear
2022-01-01 16:00:00+00:00,14.35,79.23543,10.8,13.580484,0.0,61.0,3.7742548,0.0,0.0,1011.777,2.0,Partly cloudy
2022-01-01 17:00:00+00:00,13.7,80.47319,10.4,12.715527,0.0,21.0,4.132661,0.0,0.0,1012.373,1.0,Mainly clear
2022-01-01 18:00:00+00:00,13.1,81.47441,10.0,11.925995,0.0,16.0,4.40699,0.0,0.0,1012.6698,0.0,Clear sky
2022-01-01 19:00:00+00:00,12.85,81.44159,9.75,11.586809,0.0,11.0,4.4750557,0.0,0.0,1012.6688,0.0,Clear sky
2022-01-01 20:00:00+00:00,12.45,84.448616,9.9,11.398414,0.0,3.0,3.8486068,0.0,0.0,1012.3673,0.0,Clear sky
2022-01-01 21:00:00+00:00,11.8,88.13831,9.9,10.93327,0.0,15.0,3.1643424,0.0,0.0,1012.5639,0.0,Clear sky
2022-01-01 22:00:00+00:00,11.7,88.42525,9.85,10.7999735,0.0,15.0,3.2351944,0.0,0.0,1012.4636,0.0,Clear sky
2022-01-01 23:00:00+00:00,11.4,89.29372,9.7,10.437471,0.0,5.0,3.31024,0.0,0.0,1012.1625,0.0,Clear sky
2022-01-02 00:00:00+00:00,12.5,80.84998,9.3,11.130342,0.0,2.0,4.40699,0.0,0.0,1012.26764,0.0,Clear sky
